car_model,year,model,version,door_count,nr_seats,color,gearbox,engine_capacity,engine_power,transmission,fuel_type,body_type,new_used,mileage,no_accident,country_origin,has_registration,registered,price
aixam,2021,City,,3,2,Szary,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,9 000 km,,,,Tak,38 500
aixam,2016,Coupe,,3,2,Biały,Automatyczna,400 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,39 000 km,Tak,,,Tak,36 900
aixam,2019,Crossover,,2,2,Srebrny,Automatyczna,480 cm3,8 KM,,Diesel,Auta małe,Używany,28 000 km,Tak,Francja,Tak,,38 500
aixam,2020,Inny,,2,,Zielony,Automatyczna,,4 KM,,Elektryczny,Auta małe,Używany,2 500 km,,,Tak,,12 500
aixam,2018,City,,3,2,Granatowy,Automatyczna,479 cm3,10 KM,Na przednie koła,Diesel,Auta miejskie,Używany,14 687 km,,,Tak,,37 500
aixam,2005,City,,3,1,Srebrny,Automatyczna,400 cm3,5 KM,,Diesel,Auta małe,Używany,50 000 km,,,Tak,,8 800
aixam,2016,Crossline,,2,,Szary,Automatyczna,440 cm3,4 KM,,Diesel,Auta małe,Używany,31 257 km,,,Tak,,36 000
aixam,2019,Crossover,,2,,Niebieski,Automatyczna,482 cm3,8 KM,,Diesel,Auta małe,Używany,31 000 km,,,,,36 900
aixam,2020,City,,2,2,Biały,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,41 544 km,,Francja,Tak,Tak,41 000
aixam,2021,City,,3,2,Biały,Automatyczna,,5 KM,Na tylne koła,Elektryczny,Auta małe,Używany,13 000 km,Tak,,,Tak,26 500
aixam,2006,Crossline,,2,2,Srebrny,Automatyczna,400 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,57 800 km,,,Tak,,12 500
aixam,2015,Coupe,,3,2,Biały,Automatyczna,400 cm3,5 KM,,Diesel,Auta małe,Używany,3 850 km,,,Tak,,23 000
aixam,2020,Inny,,2,,Czerwony,Automatyczna,,3 KM,,Elektryczny,Auta małe,Używany,5 000 km,,,,,16 500
aixam,2022,Coupe,,2,2,Niebieski,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,28 330 km,,,Tak,,59 900
aixam,2011,Inny,,2,2,Biały,Automatyczna,440 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,16 500 km,Tak,Włochy,Tak,Tak,14 900
aixam,2009,City,,3,2,Biały,Automatyczna,523 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,15 000 km,Tak,,,Tak,17 500
aixam,2014,City,,3,2,Biały,Automatyczna,505 cm3,20 KM,Na przednie koła,Benzyna,Auta małe,Używany,48 500 km,,,Tak,Tak,38 500
aixam,2017,City,,3,2,Granatowy,Automatyczna,400 cm3,4 KM,Na przednie koła,Diesel,Auta małe,Używany,51 100 km,Tak,Austria,Tak,,28 900
aixam,2012,City,,3,2,Czerwony,Automatyczna,400 cm3,5 KM,,Diesel,Auta miejskie,Używany,83 000 km,,,Tak,,21 500
aixam,2017,Crossline,,3,2,Czarny,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,32 000 km,,,,,36 900
aixam,2019,Crossover,,3,,Zielony,Automatyczna,479 cm3,8 KM,,Diesel,Auta małe,Używany,11 675 km,,,,,37 900
aixam,2023,GTO,,2,2,Biały,Automatyczna,,8 KM,Na przednie koła,Elektryczny,Auta małe,Używany,6 800 km,,,,,64 600
aixam,2024,Coupe,,3,2,Czerwony,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Nowy,1 km,Tak,,,,95 499
aixam,2005,A741,,3,2,Szary,Automatyczna,400 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,69 345 km,Tak,Francja,Tak,Tak,13 500
aixam,2024,Crossline,,3,2,Niebieski,Automatyczna,497 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Nowy,1 km,Tak,,,,79 000
aixam,2024,Coupe,,3,2,Biały,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta miejskie,Nowy,1 km,Tak,,,,81 900
aixam,2023,City,,2,,Biały,Automatyczna,480 cm3,8 KM,,Diesel,Auta małe,Używany,9 200 km,,,Tak,,34 500
aixam,2020,Coupe,,3,2,Niebieski,Automatyczna,479 cm3,6 KM,,Diesel,Auta małe,Używany,27 595 km,,,Tak,,40 800
aixam,2022,City,,3,2,Czerwony,Automatyczna,480 cm3,6 KM,Na przednie koła,Diesel,Auta małe,Używany,6 200 km,,,,,41 900
aixam,2011,City,,3,,Niebieski,Automatyczna,400 cm3,5 KM,,Diesel,Auta małe,Używany,74 000 km,,,Tak,,14 900
aixam,2017,City,,2,2,Czerwony,Automatyczna,479 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,21 450 km,Tak,Austria,Tak,,29 900
aixam,2017,Coupe,,3,2,Biały,Automatyczna,480 cm3,8 KM,Na przednie koła,Diesel,Coupe,Używany,39 800 km,,Francja,Tak,Tak,32 000
aixam,2022,Inny,,2,2,Czarny,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,SUV,Używany,9 392 km,,Francja,Tak,,55 900
aixam,2021,City,,3,,Biały,Automatyczna,479 cm3,8 KM,,Diesel,Auta małe,Używany,21 857 km,,,,,42 500
aixam,2015,Crossline,,2,4,Biały,Manualna,505 cm3,21 KM,Na przednie koła,Benzyna,Auta małe,Używany,44 000 km,,,Tak,,38 000
aixam,2017,Crossline,,3,2,Czerwony,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,6 900 km,,Francja,Tak,,47 700
aixam,2005,City,,3,2,Błękitny,Automatyczna,400 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,28 971 km,,,Tak,,5 500
aixam,2024,City,,3,2,Czerwony,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Coupe,Nowy,1 km,Tak,,,,63 650
aixam,2015,Coupe,,3,2,Biały,Automatyczna,400 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,37 940 km,,,Tak,,33 000
aixam,2013,Inny,,3,2,Biały,Automatyczna,400 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,26 240 km,Tak,,Tak,Tak,28 500
aixam,2024,Coupe,,3,2,Niebieski,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta miejskie,Nowy,1 km,Tak,Polska,,,75 280
aixam,2011,Crossline,,3,4,Srebrny,Automatyczna,599 cm3,15 KM,Na przednie koła,Diesel,Auta miejskie,Używany,66 745 km,Tak,Francja,Tak,,25 000
