car_model,year,model,version,door_count,nr_seats,color,gearbox,engine_capacity,engine_power,transmission,fuel_type,body_type,new_used,mileage,no_accident,country_origin,has_registration,registered,price
alfa-romeo,2024,Stelvio,2.0 Turbo Veloce Q4,5,5,Czarny,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Nowy,5 km,Tak,Polska,,Tak,231 500
alfa-romeo,2022,Stelvio,2.0 Turbo 16V AT8-Q4 Veloce,5,5,Czarny,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,36 000 km,,Stany Zjednoczone,Tak,Tak,172 000
alfa-romeo,2024,Giulia,,4,5,Czerwony,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,Sedan,Nowy,4 km,Tak,Polska,,Tak,224 900
alfa-romeo,2009,159,1.9 JTDM 8V DPF,4,5,Brązowy,Manualna,1 910 cm3,120 KM,Na przednie koła,Diesel,Sedan,Używany,374 000 km,Tak,,Tak,Tak,16 500
alfa-romeo,2024,Tonale,1.5 T4 GSE Hybrid Tributo Italiano DCT,5,,Biały,Automatyczna,1 469 cm3,160 KM,Na przednie koła,Hybryda,SUV,Nowy,1 km,Tak,,,,193 500
alfa-romeo,2022,Stelvio,2.9 V6 Bi-Turbo Quadrifoglio Q4,5,5,Niebieski,Automatyczna,2 891 cm3,510 KM,4x4 (stały),Benzyna,SUV,Nowy,1 km,Tak,,,,390 000
alfa-romeo,2012,Giulietta,1.4 TB 16V Multiair Turismo,5,5,Czarny,Manualna,1 368 cm3,170 KM,Na przednie koła,Benzyna,Kompakt,Używany,97 600 km,Tak,Belgia,Tak,Tak,34 900
alfa-romeo,2011,Giulietta,1.4 TB 16V Multiair TCT Sport,5,5,Czarny,Automatyczna,1 368 cm3,170 KM,Na przednie koła,Benzyna+LPG,Kompakt,Używany,178 950 km,,Szwajcaria,Tak,Tak,38 900
alfa-romeo,2019,Giulia,,4,5,Niebieski,Automatyczna,1 995 cm3,200 KM,Na tylne koła,Benzyna,Sedan,Używany,48 700 km,Tak,Polska,,Tak,99 900
alfa-romeo,2006,159,,4,5,Szary,Manualna,1 910 cm3,120 KM,Na przednie koła,Diesel,Sedan,Używany,240 500 km,,Belgia,Tak,,9 900
alfa-romeo,2019,Giulia,2.0 Turbo TI Q4,4,5,Szary,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,Sedan,Używany,64 000 km,,Stany Zjednoczone,Tak,Tak,109 990
alfa-romeo,2004,166,2.4JTD 20V Progress,4,5,Czarny,Automatyczna,2 387 cm3,175 KM,Na przednie koła,Diesel,Sedan,Używany,241 000 km,Tak,,,Tak,9 900
alfa-romeo,2018,Giulia,2.0 Turbo Veloce TI Q4,4,5,Biały,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,Sedan,Używany,147 000 km,,Stany Zjednoczone,Tak,Tak,90 000
alfa-romeo,2024,Giulia,,4,5,Czerwony,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,Sedan,Nowy,6 km,Tak,,,,230 890
alfa-romeo,1997,Spider,2.0 TSpark,2,4,Czerwony,Manualna,1 970 cm3,150 KM,Na przednie koła,Benzyna,Kabriolet,Używany,190 000 km,,,,,18 500
alfa-romeo,2011,Mito,1.4 Distinctive EU6,3,4,Czarny,Manualna,1 368 cm3,78 KM,Na przednie koła,Benzyna,Kompakt,Używany,57 000 km,,,Tak,,21 500
alfa-romeo,2022,Stelvio,2.0 Turbo 16V AT8-Q4 Veloce,5,5,Biały,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,14 000 km,,Stany Zjednoczone,Tak,Tak,167 000
alfa-romeo,2024,Stelvio,2.0 Turbo Tributo Italiano Q4,5,5,Biały,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Nowy,1 km,Tak,,,,250 900
alfa-romeo,2024,Giulia,,4,5,Biały,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,Sedan,Nowy,6 km,Tak,,,,223 890
alfa-romeo,2010,Mito,1.4 TB MultiAir QV,3,4,Biały,Manualna,1 368 cm3,170 KM,Na przednie koła,Benzyna,Auta miejskie,Używany,167 000 km,Tak,Szwajcaria,,,20 900
alfa-romeo,1977,Alfetta,,4,,Inny kolor,Manualna,1 800 cm3,118 KM,,Benzyna,Sedan,Używany,10 894 km,,,Tak,,37 900
alfa-romeo,2021,Stelvio,2.0 Turbo 16V AT8-Q4 Ti,5,5,Biały,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,13 800 km,,Stany Zjednoczone,Tak,Tak,138 990
alfa-romeo,2004,GT,,2,4,Biały,Manualna,1 970 cm3,165 KM,Na przednie koła,Benzyna,Coupe,Używany,183 700 km,Tak,Niemcy,Tak,Tak,12 500
alfa-romeo,2024,Tonale,1.5 T4 GSE Hybrid Tributo Italiano DCT,5,,Zielony,Automatyczna,1 469 cm3,160 KM,Na przednie koła,Hybryda,SUV,Nowy,5 km,Tak,,,Tak,204 900
alfa-romeo,2019,Stelvio,2.0 Turbo Business Q4,5,5,Czerwony,Automatyczna,1 995 cm3,200 KM,4x4 (stały),Benzyna,SUV,Używany,224 234 km,Tak,Polska,Tak,Tak,84 900
alfa-romeo,2023,Tonale,1.3 PHEV Q4 Veloce,5,5,Niebieski,Automatyczna,1 332 cm3,179 KM,4x4 (stały),Hybryda Plug-in,SUV,Używany,1 km,Tak,Polska,Tak,Tak,209 900
alfa-romeo,2024,Stelvio,2.9 Bi Turbo V6 Quadrifoglio Q4,5,,Czerwony,Automatyczna,2 891 cm3,520 KM,4x4 (stały),Benzyna,SUV,Nowy,1 km,Tak,Polska,,Tak,427 900
alfa-romeo,2016,Giulietta,,5,5,Biały,Manualna,1 956 cm3,150 KM,Na przednie koła,Diesel,Kompakt,Używany,164 000 km,Tak,,Tak,,37 700
alfa-romeo,2010,Brera,2.2JTS Sky View,3,4,Czerwony,Manualna,2 198 cm3,185 KM,Na przednie koła,Benzyna,Coupe,Używany,185 000 km,Tak,Dania,Tak,Tak,32 500
alfa-romeo,2007,147,1.6 T.S Distinctive,5,5,Srebrny,Manualna,1 598 cm3,120 KM,Na przednie koła,Benzyna,Kompakt,Używany,190 000 km,Tak,,,,6 900
alfa-romeo,2017,Giulia,2.0 Turbo Veloce,4,5,Czerwony,Automatyczna,1 995 cm3,280 KM,Na tylne koła,Benzyna,Sedan,Używany,90 000 km,Tak,Polska,Tak,Tak,140 500
alfa-romeo,2023,Tonale,,5,5,Biały,Automatyczna,1 469 cm3,130 KM,Na przednie koła,Benzyna,SUV,Używany,28 591 km,,Polska,Tak,Tak,134 900
alfa-romeo,2008,Mito,1.4 16V Turismo,3,5,Czarny,Manualna,1 368 cm3,95 KM,Na przednie koła,Benzyna,Auta miejskie,Używany,61 400 km,Tak,Niemcy,Tak,Tak,21 900
alfa-romeo,2024,Giulia,2.2 D Turbo Tributo Italiano Q2,4,5,Zielony,Automatyczna,2 143 cm3,160 KM,Na tylne koła,Diesel,Sedan,Nowy,5 km,Tak,,,,239 500
alfa-romeo,2010,Giulietta,1.8 TBi 16V Quadrifoglio Verde,5,5,Czarny,Manualna,1 742 cm3,235 KM,Na przednie koła,Benzyna,Kompakt,Używany,180 000 km,,Szwajcaria,,,35 900
alfa-romeo,2009,Mito,TB 1.4 16V Turismo,3,5,Szary,Manualna,1 368 cm3,155 KM,Na przednie koła,Benzyna,Auta miejskie,Używany,169 111 km,Tak,Szwajcaria,,,21 900
alfa-romeo,2006,159,,4,5,Czarny,Manualna,1 859 cm3,160 KM,Na przednie koła,Benzyna,Kombi,Używany,142 000 km,Tak,,Tak,Tak,11 900
alfa-romeo,2007,147,1.9 JTD Progression,3,5,Czarny,Manualna,1 910 cm3,115 KM,Na przednie koła,Diesel,Coupe,Używany,190 000 km,,,Tak,,7 000
alfa-romeo,2009,159,,4,5,Czarny,Manualna,1 910 cm3,150 KM,,Diesel,Sedan,Używany,218 200 km,,,Tak,,12 900
alfa-romeo,2009,Mito,,3,5,Czarny,Manualna,1 368 cm3,95 KM,Na przednie koła,Benzyna,Auta miejskie,Używany,208 248 km,Tak,Niemcy,Tak,Tak,12 600
alfa-romeo,2007,159,,4,,Czarny,Manualna,1 859 cm3,160 KM,,Benzyna,Kombi,Używany,205 000 km,,,Tak,,11 000
alfa-romeo,2011,Giulietta,,5,5,Czarny,Manualna,1 598 cm3,105 KM,,Diesel,Kompakt,Używany,174 000 km,,,Tak,,24 500
alfa-romeo,2021,Giulia,,4,5,Biały,Automatyczna,1 995 cm3,280 KM,Na tylne koła,Benzyna,Sedan,Używany,45 000 km,,,Tak,Tak,134 500
alfa-romeo,2011,Giulietta,1.4 TB 16V Multiair TCT Sprint,5,,Biały,Automatyczna,1 368 cm3,170 KM,Na przednie koła,Benzyna,Kompakt,Używany,124 444 km,,,Tak,,37 500
alfa-romeo,2010,Giulietta,,5,,Biały,Manualna,1 598 cm3,105 KM,,Diesel,Kompakt,Używany,267 000 km,Tak,,Tak,Tak,19 000
alfa-romeo,2017,Giulia,2.2 D Turbo Super,4,5,Granatowy,Automatyczna,2 143 cm3,180 KM,Na tylne koła,Diesel,Sedan,Używany,82 500 km,,Francja,,Tak,89 500
alfa-romeo,2017,Giulia,2.0 Turbo 16V AT8-Q4 Veloce,4,5,Granatowy,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,Sedan,Używany,25 000 km,,Stany Zjednoczone,Tak,Tak,99 000
alfa-romeo,2024,Tonale,,5,5,Biały,Automatyczna,1 469 cm3,160 KM,Na przednie koła,Benzyna,Kompakt,Nowy,5 km,Tak,,,,189 890
alfa-romeo,2024,Junior,54 kWh Elettrica Speciale,5,5,Czerwony,Automatyczna,,156 KM,Na przednie koła,Elektryczny,SUV,Nowy,1 km,Tak,,,,184 400
alfa-romeo,2012,Mito,,3,4,Czarny,Manualna,1 368 cm3,95 KM,Na przednie koła,Benzyna,Auta małe,Używany,163 000 km,Tak,,,,24 900
alfa-romeo,2012,Giulietta,1.4 TB Progression,5,5,Szary,Manualna,1 368 cm3,120 KM,Na przednie koła,Benzyna,Kompakt,Używany,121 000 km,Tak,,Tak,Tak,29 900
alfa-romeo,2024,Tonale,,5,5,Biały,Automatyczna,1 469 cm3,130 KM,Na przednie koła,Benzyna,SUV,Nowy,2 km,Tak,,,,143 900
alfa-romeo,2022,Tonale,,5,5,Biały,Automatyczna,1 469 cm3,,Na przednie koła,Hybryda,SUV,Używany,2 000 km,,Polska,Tak,,175 000
alfa-romeo,2018,Giulietta,1.4 TB,5,5,Szary,Manualna,1 368 cm3,120 KM,Na przednie koła,Benzyna,Kompakt,Używany,52 840 km,Tak,Polska,Tak,Tak,56 000
alfa-romeo,2024,Stelvio,2.9 Bi Turbo V6 Quadrifoglio Q4,5,5,Czerwony,Automatyczna,2 891 cm3,520 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Nowy,5 km,Tak,Polska,,,439 000
alfa-romeo,2008,159,1.9 JTDM 8V DPF,4,5,Czarny,Manualna,1 910 cm3,120 KM,Na przednie koła,Diesel,Kombi,Używany,303 000 km,,,Tak,,7 800
alfa-romeo,2009,159,1750TBi Sport,4,,Czarny,Manualna,1 742 cm3,200 KM,Na przednie koła,Benzyna,Sedan,Używany,232 435 km,,Szwajcaria,Tak,,25 000
alfa-romeo,2008,159,1.9JTDM ti,4,5,Czarny,Manualna,1 910 cm3,150 KM,Na przednie koła,Diesel,Kombi,Używany,240 486 km,Tak,Holandia,Tak,Tak,13 899
alfa-romeo,2022,Tonale,1.5 T4 GSE Hybrid Edizione Speciale DCT,5,5,Zielony,Automatyczna,1 469 cm3,160 KM,,Hybryda,SUV,Używany,81 000 km,Tak,Polska,Tak,Tak,168 000
alfa-romeo,2018,Giulia,2.0 Turbo 16V AT8 Veloce Ti,4,,Czarny,Automatyczna,1 995 cm3,280 KM,Na tylne koła,Benzyna,Sedan,Używany,144 000 km,,,Tak,,90 000
alfa-romeo,2024,Junior,1.2 mHEV Ibrida DCT,5,,Biały,Automatyczna,1 119 cm3,136 KM,Na przednie koła,Hybryda,Kompakt,Nowy,1 km,Tak,,,,113 900
alfa-romeo,2019,Stelvio,2.0 Turbo Executive Q4,5,5,Biały,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,158 000 km,Tak,Polska,Tak,Tak,109 900
alfa-romeo,2024,Tonale,1.5 T4 GSE Hybrid Veloce DCT,5,5,Czerwony,Automatyczna,1 469 cm3,160 KM,Na przednie koła,Hybryda,SUV,Nowy,5 km,Tak,Polska,,,179 900
alfa-romeo,2018,Giulia,2.9 V6 Bi-Turbo AT8 Quadrifoglio,4,5,Bordowy,Automatyczna,2 891 cm3,510 KM,Na tylne koła,Benzyna,Sedan,Używany,27 000 km,,Szwajcaria,Tak,,254 600
alfa-romeo,2011,Giulietta,1.6 JTDM 16V,5,,Biały,Manualna,1 598 cm3,105 KM,Na przednie koła,Diesel,Kompakt,Używany,253 000 km,,Francja,Tak,,24 900
alfa-romeo,2008,Mito,1.4 16V Turismo,3,5,Biały,Manualna,1 368 cm3,95 KM,Na przednie koła,Benzyna,Auta małe,Używany,152 000 km,Tak,Niemcy,,,15 999
alfa-romeo,2016,Giulietta,1.4 TB Sprint,5,5,Srebrny,Manualna,1 368 cm3,150 KM,Na przednie koła,Benzyna,Kompakt,Używany,99 900 km,Tak,Polska,Tak,Tak,47 777
alfa-romeo,2017,Stelvio,2.0 Turbo Super Q4,5,5,Czerwony,Automatyczna,1 995 cm3,280 KM,,Benzyna,SUV,Używany,188 753 km,,,Tak,,84 950
alfa-romeo,2024,Giulia,,4,5,Biały,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,Sedan,Nowy,6 km,Tak,,,,238 890
alfa-romeo,2018,Giulietta,,5,5,Biały,Manualna,1 368 cm3,120 KM,Na przednie koła,Benzyna,Kompakt,Używany,137 545 km,Tak,,,,54 000
alfa-romeo,2023,Tonale,,5,,Czerwony,Automatyczna,1 469 cm3,160 KM,Na przednie koła,Benzyna,SUV,Nowy,5 km,Tak,Polska,,Tak,172 900
alfa-romeo,2012,Mito,1.4 MultiAir Progression,3,,Brązowy,Manualna,1 368 cm3,105 KM,Na przednie koła,Benzyna,Auta małe,Używany,139 000 km,,,Tak,,19 800
alfa-romeo,2023,Tonale,1.3 PHEV Q4 Veloce,5,5,Biały,Automatyczna,1 332 cm3,179 KM,4x4 (stały),Hybryda Plug-in,SUV,Nowy,1 km,Tak,Polska,,,229 900
alfa-romeo,2017,Stelvio,,5,5,Niebieski,Automatyczna,2 143 cm3,180 KM,,Diesel,SUV,Używany,182 508 km,,,,,82 999
alfa-romeo,2009,Mito,,3,4,Biały,Manualna,1 368 cm3,105 KM,Na przednie koła,Benzyna,Kompakt,Używany,196 378 km,,,Tak,,13 500
alfa-romeo,2018,Stelvio,2.0 Turbo TI Q4,5,5,Granatowy,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,48 242 km,,Stany Zjednoczone,,,114 900
alfa-romeo,2024,Giulia,2.0 Turbo Tributo Italiano Q4,4,,Zielony,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,Sedan,Nowy,5 km,Tak,Polska,,,236 000
alfa-romeo,2021,Stelvio,,5,5,Niebieski,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,67 200 km,Tak,Polska,Tak,Tak,180 000
alfa-romeo,2021,Stelvio,,,,Inny kolor,Automatyczna,,,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,46 872 km,,Polska,,Tak,140 000
alfa-romeo,2024,Tonale,1.5 T4 GSE Hybrid Veloce DCT,5,5,Szary,Automatyczna,1 469 cm3,160 KM,Na przednie koła,Hybryda,SUV,Nowy,1 km,Tak,Polska,Tak,,187 900
alfa-romeo,2018,Stelvio,2.0 Turbo 16V AT8-Q4 Lusso Ti,5,5,Czerwony,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,61 500 km,,,Tak,,99 999
alfa-romeo,2024,Stelvio,2.2 JTDM Tributo Italiano Q4,5,5,Czerwony,Automatyczna,2 143 cm3,210 KM,4x4 (stały),Diesel,SUV,Nowy,5 km,Tak,Polska,,Tak,279 500
alfa-romeo,2019,Stelvio,2.2 JTDM Super Q4,5,,Czarny,Automatyczna,2 143 cm3,210 KM,4x4 (stały),Diesel,SUV,Używany,65 000 km,,,Tak,,124 000
alfa-romeo,2004,156,2.0 JTS Distinctive,4,5,Inny kolor,Manualna,1 970 cm3,165 KM,Na przednie koła,Benzyna,Sedan,Używany,179 500 km,Tak,Polska,Tak,Tak,12 500
alfa-romeo,2008,159,1.9 JTDM 16V DPF Distinctive,4,5,Czarny,Manualna,1 910 cm3,150 KM,Na przednie koła,Diesel,Sedan,Używany,142 000 km,Tak,Włochy,Tak,Tak,13 900
alfa-romeo,2006,Brera,,2,5,Czarny,Manualna,3 195 cm3,260 KM,Na przednie koła,Benzyna,Coupe,Używany,200 000 km,,,Tak,,21 900
alfa-romeo,2007,Brera,3.2 JTS Q4 Sky View,3,4,Inny kolor,Manualna,3 195 cm3,260 KM,4x4 (stały),Benzyna,Coupe,Używany,140 055 km,,,Tak,,42 000
alfa-romeo,2011,Giulietta,1750 TBi Quadrifoglio Verde,5,5,Srebrny,Manualna,1 742 cm3,235 KM,Na przednie koła,Benzyna,Kompakt,Używany,243 857 km,Tak,Austria,Tak,Tak,39 000
alfa-romeo,1997,GTV,2.0 16v TSpark,2,4,Szary,Manualna,1 970 cm3,150 KM,Na przednie koła,Benzyna,Coupe,Używany,138 500 km,Tak,,Tak,Tak,18 500
alfa-romeo,2011,Giulietta,1.4 TB MultiAir Distinctive,5,5,Czarny,Manualna,1 368 cm3,170 KM,Na przednie koła,Benzyna,Kompakt,Używany,211 000 km,Tak,Niemcy,Tak,Tak,29 700
alfa-romeo,2018,Giulia,2.0 Turbo Super,4,5,Szary,Automatyczna,1 995 cm3,200 KM,Na tylne koła,Benzyna,Sedan,Używany,51 500 km,Tak,Polska,Tak,Tak,95 900
alfa-romeo,2023,Giulia,2.0 Turbo Veloce Q4,4,,Niebieski,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,Sedan,Nowy,1 km,Tak,,,,244 500
alfa-romeo,2007,159,2.4 JTDM 20V DPF Q-Tronic ti,4,5,Czarny,Automatyczna,2 387 cm3,200 KM,Na przednie koła,Diesel,Kombi,Używany,222 000 km,,Szwajcaria,Tak,Tak,15 000
alfa-romeo,2013,Giulietta,1.6 JTDM Distinctive,5,5,Inny kolor,Manualna,1 598 cm3,105 KM,Na przednie koła,Diesel,Kompakt,Używany,185 000 km,,,Tak,,25 900
alfa-romeo,2024,Stelvio,,5,5,Niebieski,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Nowy,1 km,Tak,,,,209 900
alfa-romeo,2023,Tonale,,,,Czarny,Automatyczna,1 332 cm3,280 KM,4x4 (stały),Hybryda,SUV,Nowy,5 km,Tak,Polska,,,219 900
alfa-romeo,2024,Tonale,,5,5,Czerwony,Automatyczna,1 469 cm3,160 KM,Na przednie koła,Benzyna,SUV,Nowy,6 km,Tak,,,,193 890
alfa-romeo,2023,Stelvio,2.0 Turbo Super Q4,5,5,Srebrny,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Nowy,1 km,Tak,,,,219 900
alfa-romeo,2008,159,,4,5,Srebrny,Manualna,1 910 cm3,150 KM,Na przednie koła,Diesel,Kombi,Używany,271 000 km,Tak,Włochy,Tak,Tak,12 000
alfa-romeo,2018,Stelvio,,5,5,Biały,Automatyczna,2 143 cm3,180 KM,Na tylne koła,Diesel,SUV,Używany,79 000 km,,Niemcy,Tak,Tak,99 999
alfa-romeo,2010,Giulietta,1750 TBi Quadrifoglio Verde,5,,Biały,Manualna,1 742 cm3,235 KM,Na przednie koła,Benzyna,Kompakt,Używany,213 000 km,,,Tak,,31 000
alfa-romeo,2021,Stelvio,,5,5,Szary,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,9 864 km,Tak,Polska,,Tak,179 900
alfa-romeo,2021,Stelvio,2.9 V6 Bi-Turbo Quadrifoglio Q4,5,5,Złoty,Automatyczna,2 891 cm3,510 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,93 239 km,Tak,Polska,Tak,Tak,"298 000,71"
alfa-romeo,2024,Junior,1.2 mHEV Ibrida DCT,5,,Czarny,Automatyczna,1 119 cm3,136 KM,Na przednie koła,Hybryda,Auta miejskie,Nowy,5 km,Tak,,,,126 300
alfa-romeo,2017,Stelvio,2.0 Turbo First Edition Q4,5,5,Czerwony,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,80 500 km,Tak,Stany Zjednoczone,Tak,Tak,94 000
alfa-romeo,2017,Giulia,2.0 Turbo 16V AT8-Q4 Ti,4,5,Czerwony,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,Sedan,Używany,79 000 km,Tak,,Tak,Tak,94 800
alfa-romeo,2024,Giulia,2.0 Turbo Veloce Q4,4,5,Niebieski,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,Sedan,Nowy,5 km,Tak,,,,234 900
alfa-romeo,2010,Giulietta,1.4 TB MultiAir Distinctive,5,5,Czarny,Manualna,1 368 cm3,170 KM,Na przednie koła,Benzyna,Kompakt,Używany,191 000 km,,Szwajcaria,Tak,Tak,26 500
alfa-romeo,2010,Giulietta,2.0 JTDM Distinctive,5,5,Czarny,Manualna,1 956 cm3,170 KM,Na przednie koła,Diesel,Kompakt,Używany,293 000 km,Tak,Polska,Tak,Tak,17 500
alfa-romeo,2017,Giulia,2.0 Turbo,4,,Czerwony,Automatyczna,1 995 cm3,200 KM,Na tylne koła,Benzyna,Sedan,Używany,92 000 km,,Polska,Tak,Tak,79 900
alfa-romeo,2024,Giulia,,4,5,Biały,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,Sedan,Nowy,1 km,Tak,,,,219 900
alfa-romeo,2023,Tonale,,,5,Czarny,Automatyczna,1 598 cm3,130 KM,Na przednie koła,Diesel,SUV,Nowy,5 km,Tak,,,Tak,150 900
alfa-romeo,2024,Stelvio,2.0 Turbo Veloce Q4,5,,Niebieski,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Nowy,5 km,Tak,,,,249 900
alfa-romeo,2008,147,1.9 JTDM 16V Veloce,5,5,Czarny,Manualna,1 910 cm3,170 KM,Na przednie koła,Diesel,Kompakt,Używany,273 000 km,,,Tak,,27 900
alfa-romeo,2011,Mito,1.3 JTDM ECO Turismo,3,5,Inny kolor,Manualna,1 248 cm3,84 KM,Na przednie koła,Diesel,Coupe,Używany,238 000 km,Tak,Holandia,Tak,Tak,16 999
alfa-romeo,2009,Mito,TB 1.4 16V Turismo,3,5,Czarny,Manualna,1 368 cm3,120 KM,Na przednie koła,Benzyna,Auta małe,Używany,162 000 km,Tak,Belgia,Tak,,19 999
alfa-romeo,2024,Stelvio,2.2 JTDM Tributo Italiano Q4,5,5,Zielony,Automatyczna,2 143 cm3,210 KM,4x4 (stały),Diesel,SUV,Nowy,1 km,Tak,,,,288 500
alfa-romeo,2015,Giulietta,2.0 JTDM Distinctive,5,5,Granatowy,Manualna,1 956 cm3,150 KM,Na przednie koła,Diesel,Kompakt,Używany,147 600 km,,,Tak,,31 900
alfa-romeo,2019,Giulia,2.0 Turbo Veloce Q4,4,5,Czarny,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,Sedan,Używany,38 240 km,,Stany Zjednoczone,Tak,Tak,91 000
alfa-romeo,2013,Giulietta,2.0 JTDM 16V,5,5,Szary,Manualna,1 956 cm3,140 KM,Na przednie koła,Diesel,Kompakt,Używany,232 964 km,Tak,Włochy,Tak,,23 900
alfa-romeo,2008,159,1.9 JTDM 16V DPF Q-Tronic,4,5,Czarny,Automatyczna,1 910 cm3,150 KM,Na przednie koła,Diesel,Kombi,Używany,338 000 km,Tak,Niemcy,Tak,,16 500
alfa-romeo,2018,Stelvio,2.0 Turbo Super Q4,5,,Szary,Automatyczna,1 995 cm3,280 KM,4x4 (stały),Benzyna,SUV,Używany,62 729 km,Tak,Polska,Tak,Tak,139 900
alfa-romeo,2011,Giulietta,1.4 TB MultiAir Progression,5,5,Srebrny,Manualna,1 368 cm3,170 KM,Na przednie koła,Benzyna,Kompakt,Używany,209 000 km,Tak,Szwajcaria,,,32 700
alfa-romeo,2022,Tonale,1.5 T4 GSE Hybrid Edizione Speciale DCT,5,5,Niebieski,Automatyczna,1 469 cm3,130 KM,Na przednie koła,Benzyna,SUV,Używany,23 000 km,Tak,Polska,Tak,Tak,134 000
alfa-romeo,2024,Stelvio,2.0 Turbo 16V AT8-Q4 Veloce,5,5,Czerwony,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,9 801 km,,,,,248 900
alfa-romeo,2009,Mito,,3,,Srebrny,Manualna,1 368 cm3,105 KM,Na przednie koła,Benzyna,Auta małe,Używany,174 000 km,,,Tak,,13 900
alfa-romeo,2019,Giulia,2.0 Turbo Veloce Q4,4,5,Czerwony,Automatyczna,1 995 cm3,280 KM,4x4 (dołączany automatycznie),Benzyna,Sedan,Używany,79 500 km,Tak,Polska,Tak,Tak,125 500
alfa-romeo,2011,Giulietta,2.0 JTDM Distinctive,5,5,Czerwony,Manualna,1 956 cm3,140 KM,Na przednie koła,Diesel,Kompakt,Używany,235 000 km,,Niemcy,Tak,,21 500
alfa-romeo,2011,159,1750TBi Sport Plus,4,5,Czerwony,Manualna,1 742 cm3,200 KM,Na przednie koła,Benzyna,Sedan,Używany,158 000 km,,Polska,Tak,Tak,34 900
alfa-romeo,2022,Tonale,1.5 T4 GSE Hybrid Edizione Speciale DCT,5,5,Niebieski,Automatyczna,1 469 cm3,130 KM,Na przednie koła,Benzyna,SUV,Używany,26 830 km,,Polska,Tak,Tak,154 900
alfa-romeo,2013,Giulietta,2.0 JTDM Distinctive,5,5,Szary,Manualna,1 956 cm3,140 KM,Na przednie koła,Diesel,Kompakt,Używany,268 000 km,,,Tak,,22 500
alfa-romeo,2008,Mito,1.4 TB Distinctive,3,4,Biały,Manualna,1 368 cm3,155 KM,,Benzyna,Kompakt,Używany,212 548 km,,,,,20 000
alfa-romeo,2012,Mito,1.3 JTDM,3,4,Czarny,Manualna,1 248 cm3,95 KM,Na przednie koła,Diesel,Auta małe,Używany,130 880 km,Tak,Francja,Tak,Tak,18 200
alfa-romeo,2024,Tonale,,5,5,Biały,Automatyczna,1 469 cm3,160 KM,Na przednie koła,Benzyna,SUV,Nowy,6 km,Tak,,,,189 590
alfa-romeo,2010,Mito,,3,5,Czarny,Manualna,1 368 cm3,135 KM,,Benzyna,Kompakt,Używany,158 250 km,,,Tak,,12 500
alfa-romeo,2024,Tonale,1.3 PHEV Q4 Veloce,5,5,Szary,Automatyczna,1 332 cm3,179 KM,4x4 (stały),Hybryda Plug-in,SUV,Nowy,1 km,Tak,,,,235 900
alfa-romeo,2007,159,,4,5,Niebieski,Manualna,1 910 cm3,150 KM,,Diesel,Kombi,Używany,200 000 km,,,Tak,,8 500
alfa-romeo,2012,Giulietta,1.4 TB Distinctive,5,5,Bordowy,Manualna,1 368 cm3,120 KM,Na przednie koła,Benzyna,Kompakt,Używany,135 000 km,Tak,Niemcy,,,29 900
